State,Agency Type,Agency Name,Population1,Total Offenses
KENTUCKY,Metropolitan Counties,Kenton County Police Department,,571
KENTUCKY,Metropolitan Counties,Larue,,122
KENTUCKY,Metropolitan Counties,McLean,,166
KENTUCKY,Metropolitan Counties,Meade,,287
KENTUCKY,Metropolitan Counties,Oldham,,18
KENTUCKY,Metropolitan Counties,Oldham County Police Department,,865
KENTUCKY,Metropolitan Counties,Pendleton,,181
KENTUCKY,Metropolitan Counties,Scott,,537
KENTUCKY,Metropolitan Counties,Shelby,,623
KENTUCKY,Metropolitan Counties,Spencer,,181
KENTUCKY,Metropolitan Counties,Trigg,,191
KENTUCKY,Metropolitan Counties,Warren,,"1,338"
KENTUCKY,Metropolitan Counties,Woodford,,47
KENTUCKY,Nonmetropolitan Counties,Adair,,31
KENTUCKY,Nonmetropolitan Counties,Anderson,,142
KENTUCKY,Nonmetropolitan Counties,Ballard,,204
KENTUCKY,Nonmetropolitan Counties,Barren,,322
KENTUCKY,Nonmetropolitan Counties,Bath,,18
KENTUCKY,Nonmetropolitan Counties,Bell,,359
KENTUCKY,Nonmetropolitan Counties,Boyle,,338
KENTUCKY,Nonmetropolitan Counties,Breathitt,,2
KENTUCKY,Nonmetropolitan Counties,Breckinridge,,44
KENTUCKY,Nonmetropolitan Counties,Caldwell,,169
KENTUCKY,Nonmetropolitan Counties,Calloway,,604
KENTUCKY,Nonmetropolitan Counties,Carlisle,,34
KENTUCKY,Nonmetropolitan Counties,Carroll,,45
KENTUCKY,Nonmetropolitan Counties,Casey,,150
KENTUCKY,Nonmetropolitan Counties,Clay,,134
KENTUCKY,Nonmetropolitan Counties,Clinton,,102
KENTUCKY,Nonmetropolitan Counties,Crittenden,,59
KENTUCKY,Nonmetropolitan Counties,Cumberland,,44
KENTUCKY,Nonmetropolitan Counties,Fleming,,123
KENTUCKY,Nonmetropolitan Counties,Floyd,,232
KENTUCKY,Nonmetropolitan Counties,Franklin,,816
KENTUCKY,Nonmetropolitan Counties,Fulton,,27
KENTUCKY,Nonmetropolitan Counties,Garrard County Police Department,,182
KENTUCKY,Nonmetropolitan Counties,Graves,,"1,050"
KENTUCKY,Nonmetropolitan Counties,Grayson,,274
KENTUCKY,Nonmetropolitan Counties,Green,,20
KENTUCKY,Nonmetropolitan Counties,Harlan,,210
KENTUCKY,Nonmetropolitan Counties,Harrison,,158
KENTUCKY,Nonmetropolitan Counties,Hart,,109
KENTUCKY,Nonmetropolitan Counties,Hickman,,24
KENTUCKY,Nonmetropolitan Counties,Hopkins,,824
KENTUCKY,Nonmetropolitan Counties,Jackson,,101
KENTUCKY,Nonmetropolitan Counties,Johnson,,124
KENTUCKY,Nonmetropolitan Counties,Knott,,24
KENTUCKY,Nonmetropolitan Counties,Knox,,440
KENTUCKY,Nonmetropolitan Counties,Laurel,,986
KENTUCKY,Nonmetropolitan Counties,Lawrence,,92
KENTUCKY,Nonmetropolitan Counties,Lee,,14
KENTUCKY,Nonmetropolitan Counties,Letcher,,32
KENTUCKY,Nonmetropolitan Counties,Lewis,,52
KENTUCKY,Nonmetropolitan Counties,Lincoln,,163
KENTUCKY,Nonmetropolitan Counties,Livingston,,185
KENTUCKY,Nonmetropolitan Counties,Logan,,500
KENTUCKY,Nonmetropolitan Counties,Lyon,,104
KENTUCKY,Nonmetropolitan Counties,Madison2,,
KENTUCKY,Nonmetropolitan Counties,Magoffin,,40
KENTUCKY,Nonmetropolitan Counties,Marion,,141
KENTUCKY,Nonmetropolitan Counties,Marshall,,753
KENTUCKY,Nonmetropolitan Counties,Martin,,86
KENTUCKY,Nonmetropolitan Counties,Mason,,316
KENTUCKY,Nonmetropolitan Counties,McCracken,,"1,705"
KENTUCKY,Nonmetropolitan Counties,McCreary,,103
KENTUCKY,Nonmetropolitan Counties,Menifee,,47
KENTUCKY,Nonmetropolitan Counties,Mercer,,122
KENTUCKY,Nonmetropolitan Counties,Metcalfe,,149
KENTUCKY,Nonmetropolitan Counties,Monroe,,48
KENTUCKY,Nonmetropolitan Counties,Montgomery,,458
KENTUCKY,Nonmetropolitan Counties,Morgan,,45
KENTUCKY,Nonmetropolitan Counties,Muhlenberg,,184
KENTUCKY,Nonmetropolitan Counties,Nelson,,395
KENTUCKY,Nonmetropolitan Counties,Ohio,,368
KENTUCKY,Nonmetropolitan Counties,Owen,,78
KENTUCKY,Nonmetropolitan Counties,Perry,,79
KENTUCKY,Nonmetropolitan Counties,Pike,,71
KENTUCKY,Nonmetropolitan Counties,Powell,,19
KENTUCKY,Nonmetropolitan Counties,Pulaski2,,
KENTUCKY,Nonmetropolitan Counties,Robertson,,16
KENTUCKY,Nonmetropolitan Counties,Rockcastle,,169
KENTUCKY,Nonmetropolitan Counties,Rowan,,209
KENTUCKY,Nonmetropolitan Counties,Russell,,78
KENTUCKY,Nonmetropolitan Counties,Simpson,,204
KENTUCKY,Nonmetropolitan Counties,Taylor,,360
KENTUCKY,Nonmetropolitan Counties,Todd,,225
KENTUCKY,Nonmetropolitan Counties,Trimble,,30
KENTUCKY,Nonmetropolitan Counties,Union,,139
KENTUCKY,Nonmetropolitan Counties,Washington,,89
KENTUCKY,Nonmetropolitan Counties,Wayne,,118
KENTUCKY,Nonmetropolitan Counties,Webster,,45
KENTUCKY,Nonmetropolitan Counties,Whitley,,235
KENTUCKY,Nonmetropolitan Counties,Wolfe,,26
KENTUCKY,State Police,State Police: ,,
KENTUCKY,State Police,Ashland,,532
KENTUCKY,State Police,Bowling Green,,588
KENTUCKY,State Police,Campbellsburg,,818
KENTUCKY,State Police,Cannabis Suppression Section,,558
KENTUCKY,State Police,Columbia,,786
KENTUCKY,State Police,Drug Enforcement Area 2,,424
KENTUCKY,State Police,Dry Ridge,,578
KENTUCKY,State Police,Electronic Crimes,,44
KENTUCKY,State Police,Elizabethtown,,"1,049"
KENTUCKY,State Police,Frankfort,,554
KENTUCKY,State Police,Harlan,,789
KENTUCKY,State Police,Hazard,,910
KENTUCKY,State Police,Henderson,,712
KENTUCKY,State Police,London,,"1,204"
KENTUCKY,State Police,Madisonville,,563
KENTUCKY,State Police,Mayfield,,"1,060"
KENTUCKY,State Police,Morehead,,951
KENTUCKY,State Police,Pikeville,,"1,141"
KENTUCKY,State Police,Richmond,,919
KENTUCKY,State Police,Vehicle Investigations,,44
KENTUCKY,State Police,West Drug Enforcement Branch,,757
KENTUCKY,Other,Barren County Drug Task Force,,118
KENTUCKY,Other,Cincinnati-Northern Kentucky International Airport,,241
KENTUCKY,Other,Clark County School System,,45
KENTUCKY,Other,Fayette County Schools,,469
KENTUCKY,Other,Fish and Wildlife Enforcement,,78
KENTUCKY,Other,Greater Hardin County Narcotics Task Force,,777
KENTUCKY,Other,Jefferson County School District,,192
KENTUCKY,Other,Kentucky Horse Park,,41
KENTUCKY,Other,Lexington Bluegrass Airport,,15
KENTUCKY,Other,Louisville Regional Airport Authority,,129
KENTUCKY,Other,Motor Vehicle Enforcement,,140
KENTUCKY,Other,Northern Kentucky Drug Strike Force,,72
KENTUCKY,Other,Park Security,,18
KENTUCKY,Other,Pennyrile Narcotics Task Force,,145
KENTUCKY,Other,Pulaski County Constable District 5,,44
KENTUCKY,Other,South Central Kentucky Drug Task Force,,360
LOUISIANA,Cities,Baker,"13,487",603
LOUISIANA,Cities,Gonzales,"10,916","1,406"
LOUISIANA,Cities,Gramercy,"3,382",261
LOUISIANA,Cities,Jennings,"9,949",422
LOUISIANA,Cities,Monroe,"48,291","7,920"
LOUISIANA,Cities,Plaquemine,"6,660",518
LOUISIANA,Cities,Port Allen,"5,011",282
LOUISIANA,Cities,Tallulah,"6,777",103
LOUISIANA,Cities,Thibodaux,"14,745","1,334"
LOUISIANA,Cities,West Monroe,"12,594","2,252"
LOUISIANA,Metropolitan Counties,Ascension,,"6,380"
LOUISIANA,Metropolitan Counties,Bossier,,"2,430"
LOUISIANA,Metropolitan Counties,Caddo,,"1,823"
LOUISIANA,Metropolitan Counties,Calcasieu,,"13,413"
LOUISIANA,Metropolitan Counties,Lafourche,,"4,423"
LOUISIANA,Metropolitan Counties,Morehouse,,740
LOUISIANA,Metropolitan Counties,Plaquemines,,614
LOUISIANA,Metropolitan Counties,St. Helena,,338
LOUISIANA,Metropolitan Counties,St. James,,960
LOUISIANA,Metropolitan Counties,St. John the Baptist,,"1,939"
LOUISIANA,Nonmetropolitan Counties,Claiborne,,197
LOUISIANA,Nonmetropolitan Counties,Evangeline,,658
LOUISIANA,Nonmetropolitan Counties,Madison,,185
MAINE,Cities,Auburn,"23,031","1,615"
MAINE,Cities,Augusta,"18,523","1,668"
MAINE,Cities,Biddeford,"21,519","1,856"
MAINE,Cities,Carrabassett Valley,777,30
MAINE,Cities,Eliot,"6,651",118
MAINE,Cities,Farmington,"7,617",283
MAINE,Cities,Kennebunk,"11,463",147
MAINE,Cities,Kennebunkport,"3,632",59
MAINE,Cities,Kittery,"9,755",225
MAINE,Cities,Lewiston,"36,170","1,622"
MAINE,Cities,Lisbon,"8,869",246
MAINE,Cities,Monmouth,"4,103",35
MAINE,Cities,Oakland,"6,253",142
MAINE,Cities,Old Orchard Beach,"8,890",491
MAINE,Cities,Saco,"19,628",902
MAINE,Cities,Sanford,"21,062","1,482"
MAINE,Cities,Scarborough,"20,072",602
MAINE,Cities,Skowhegan,"8,223",675
MAINE,Cities,South Portland,"25,557","1,051"
MAINE,Cities,Waterville,"16,729","1,171"
MAINE,Cities,Wells,"10,412",252
MAINE,Cities,Winslow,"7,589",288
MAINE,Cities,York,"13,170",354
MAINE,Nonmetropolitan Counties,Franklin,,198
MAINE,Nonmetropolitan Counties,Kennebec,,446
MAINE,Nonmetropolitan Counties,Somerset,,960
MARYLAND,Metropolitan Counties,Montgomery County Police Department,,"31,130"
MASSACHUSETTS,Cities,Abington,"16,443",513
MASSACHUSETTS,Cities,Acton,"24,038",495
MASSACHUSETTS,Cities,Acushnet,"10,576",217
MASSACHUSETTS,Cities,Adams,"8,036",296
MASSACHUSETTS,Cities,Agawam,"28,955","1,195"
MASSACHUSETTS,Cities,Amesbury,"17,623",447
MASSACHUSETTS,Cities,Amherst,"40,242",559
MASSACHUSETTS,Cities,Andover,"36,324",526
MASSACHUSETTS,Cities,Aquinnah,329,7
MASSACHUSETTS,Cities,Arlington,"45,876",574
MASSACHUSETTS,Cities,Ashburnham,"6,335",99
MASSACHUSETTS,Cities,Ashland,"17,860",253
MASSACHUSETTS,Cities,Athol,"11,721",462
MASSACHUSETTS,Cities,Attleboro,"44,719","1,683"
MASSACHUSETTS,Cities,Auburn,"16,771",654
MASSACHUSETTS,Cities,Ayer,"8,246",331
MASSACHUSETTS,Cities,Barnstable,"44,015","1,629"
MASSACHUSETTS,Cities,Bedford,"14,319",109
MASSACHUSETTS,Cities,Belchertown,"15,165",235
MASSACHUSETTS,Cities,Bellingham,"17,184",556
MASSACHUSETTS,Cities,Belmont,"26,700",336
MASSACHUSETTS,Cities,Berkley,"6,748",73
MASSACHUSETTS,Cities,Berlin,"3,222",62
MASSACHUSETTS,Cities,Bernardston,"2,108",76
MASSACHUSETTS,Cities,Beverly,"42,114",564
MASSACHUSETTS,Cities,Billerica,"44,482",713
MASSACHUSETTS,Cities,Blackstone,"9,345",124
MASSACHUSETTS,Cities,Bolton,"5,335",128
MASSACHUSETTS,Cities,Bourne,"19,894",820
MASSACHUSETTS,Cities,Boxborough,"6,634",85
MASSACHUSETTS,Cities,Boxford,"8,355",62
MASSACHUSETTS,Cities,Boylston,"4,674",33
MASSACHUSETTS,Cities,Braintree,"37,345",993
MASSACHUSETTS,Cities,Brewster,"9,831",262
MASSACHUSETTS,Cities,Bridgewater,"27,584",440
MASSACHUSETTS,Cities,Brockton,"95,922","6,146"
MASSACHUSETTS,Cities,Brookline,"59,199","1,033"
MASSACHUSETTS,Cities,Burlington,"27,562",825
MASSACHUSETTS,Cities,Cambridge,"114,881","4,555"
MASSACHUSETTS,Cities,Canton,"23,709",411
MASSACHUSETTS,Cities,Carlisle,"5,289",53
MASSACHUSETTS,Cities,Carver,"11,743",261
MASSACHUSETTS,Cities,Charlton,"13,652",300
MASSACHUSETTS,Cities,Chatham,"6,174",151
MASSACHUSETTS,Cities,Chelmsford,"35,264",745
MASSACHUSETTS,Cities,Chelsea,"40,974","2,280"
MASSACHUSETTS,Cities,Chilmark,923,20
MASSACHUSETTS,Cities,Clinton,"14,009",55
MASSACHUSETTS,Cities,Cohasset,"8,665",164
MASSACHUSETTS,Cities,Concord,"19,459",265
MASSACHUSETTS,Cities,Dalton,"6,556",98
MASSACHUSETTS,Cities,Danvers,"27,703",993
MASSACHUSETTS,Cities,Dartmouth,"34,322","1,274"
MASSACHUSETTS,Cities,Dedham,"25,437",531
MASSACHUSETTS,Cities,Deerfield,"5,012",151
MASSACHUSETTS,Cities,Dennis,"13,872",642
MASSACHUSETTS,Cities,Douglas,"8,925",138
MASSACHUSETTS,Cities,Dover,"6,104",60
MASSACHUSETTS,Cities,Dracut,"31,917",673
MASSACHUSETTS,Cities,Dudley,"11,807",223
MASSACHUSETTS,Cities,Dunstable,"3,407",58
MASSACHUSETTS,Cities,Duxbury,"16,049",232
MASSACHUSETTS,Cities,East Bridgewater,"14,558",309
MASSACHUSETTS,Cities,Eastham,"4,871",153
MASSACHUSETTS,Cities,Easthampton,"16,050",379
MASSACHUSETTS,Cities,East Longmeadow,"16,398",600
MASSACHUSETTS,Cities,Easton,"25,225",479
MASSACHUSETTS,Cities,Edgartown,"4,357",209
MASSACHUSETTS,Cities,Erving,"1,762",116
MASSACHUSETTS,Cities,Everett,"47,005","1,532"
MASSACHUSETTS,Cities,Fairhaven,"16,076",869
MASSACHUSETTS,Cities,Fall River,"89,475","5,350"
MASSACHUSETTS,Cities,Falmouth,"31,033","1,286"
MASSACHUSETTS,Cities,Fitchburg,"40,836","1,790"
MASSACHUSETTS,Cities,Foxborough,"17,667",586
MASSACHUSETTS,Cities,Framingham,"72,510","2,096"
MASSACHUSETTS,Cities,Franklin,"33,156",226
MASSACHUSETTS,Cities,Freetown,"9,404",252
MASSACHUSETTS,Cities,Gardner,"20,704","1,022"
MASSACHUSETTS,Cities,Georgetown,"8,757",140
MASSACHUSETTS,Cities,Gill,"1,498",43
MASSACHUSETTS,Cities,Gloucester,"30,356",781
MASSACHUSETTS,Cities,Goshen,"1,067",3
MASSACHUSETTS,Cities,Grafton,"18,900",214
MASSACHUSETTS,Cities,Granby,"6,347",107
MASSACHUSETTS,Cities,Great Barrington,"6,821",152
MASSACHUSETTS,Cities,Greenfield,"17,443",907
MASSACHUSETTS,Cities,Groton,"11,462",111
MASSACHUSETTS,Cities,Groveland,"6,833",43
MASSACHUSETTS,Cities,Hadley,"5,347",326
MASSACHUSETTS,Cities,Halifax,"7,901",217
MASSACHUSETTS,Cities,Hamilton,"8,088",87
MASSACHUSETTS,Cities,Hampden,"5,213",68
MASSACHUSETTS,Cities,Hanover,"14,521",260
MASSACHUSETTS,Cities,Hanson,"10,858",212
MASSACHUSETTS,Cities,Hardwick,"3,029",106
MASSACHUSETTS,Cities,Harvard,"6,572",194
MASSACHUSETTS,Cities,Harwich,"12,130",329
MASSACHUSETTS,Cities,Hatfield,"3,302",55
MASSACHUSETTS,Cities,Haverhill,"64,012","2,981"
MASSACHUSETTS,Cities,Hingham,"23,588",429
MASSACHUSETTS,Cities,Holbrook,"11,052",371
MASSACHUSETTS,Cities,Holland,"2,502",34
MASSACHUSETTS,Cities,Holliston,"14,924",108
MASSACHUSETTS,Cities,Holyoke,"40,470","4,682"
MASSACHUSETTS,Cities,Hopedale,"5,984",76
MASSACHUSETTS,Cities,Hopkinton,"18,516",97
MASSACHUSETTS,Cities,Hudson,"20,060",261
MASSACHUSETTS,Cities,Ipswich,"14,107",195
MASSACHUSETTS,Cities,Kingston,"13,700",275
MASSACHUSETTS,Cities,Lakeville,"11,525",207
MASSACHUSETTS,Cities,Lancaster,"8,074",161
MASSACHUSETTS,Cities,Lee,"5,694",190
MASSACHUSETTS,Cities,Leicester,"11,435",320
MASSACHUSETTS,Cities,Lenox,"4,941",139
MASSACHUSETTS,Cities,Leominster,"41,727","2,363"
MASSACHUSETTS,Cities,Lexington,"34,050",226
MASSACHUSETTS,Cities,Lincoln,"6,839",75
MASSACHUSETTS,Cities,Littleton,"10,292",188
MASSACHUSETTS,Cities,Longmeadow,"15,898",329
MASSACHUSETTS,Cities,Lowell,"111,989","5,445"
MASSACHUSETTS,Cities,Ludlow,"21,590",670
MASSACHUSETTS,Cities,Lunenburg,"11,498",376
MASSACHUSETTS,Cities,Lynn,"94,558","4,121"
MASSACHUSETTS,Cities,Lynnfield,"13,141",212
MASSACHUSETTS,Cities,Malden,"61,469","1,615"
MASSACHUSETTS,Cities,Manchester-by-the-Sea,"5,428",52
MASSACHUSETTS,Cities,Mansfield,"24,050",680
MASSACHUSETTS,Cities,Marblehead,"20,652",316
MASSACHUSETTS,Cities,Marion,"5,134",167
MASSACHUSETTS,Cities,Marlborough,"40,052","1,489"
MASSACHUSETTS,Cities,Marshfield,"25,922",261
MASSACHUSETTS,Cities,Mashpee,"14,215",473
MASSACHUSETTS,Cities,Mattapoisett,"6,369",107
MASSACHUSETTS,Cities,Maynard,"10,744",186
MASSACHUSETTS,Cities,Medford,"57,997","1,254"
MASSACHUSETTS,Cities,Medway,"13,406",131
MASSACHUSETTS,Cities,Melrose,"28,552",393
MASSACHUSETTS,Cities,Mendon,"6,130",102
MASSACHUSETTS,Cities,Merrimac,"6,993",94
MASSACHUSETTS,Cities,Methuen,"50,676","1,179"
MASSACHUSETTS,Cities,Middleboro,"25,125",823
MASSACHUSETTS,Cities,Middleton,"9,991",165
MASSACHUSETTS,Cities,Milford,"29,056",822
MASSACHUSETTS,Cities,Millbury,"13,802",410
MASSACHUSETTS,Cities,Millville,"3,260",63
MASSACHUSETTS,Cities,Milton,"27,642",135
MASSACHUSETTS,Cities,Monson,"8,890",255
MASSACHUSETTS,Cities,Montague,"8,235",297
MASSACHUSETTS,Cities,Nahant,"3,513",38
MASSACHUSETTS,Cities,Nantucket,"11,388",571
MASSACHUSETTS,Cities,Natick,"36,717",937
MASSACHUSETTS,Cities,Needham,"31,264",419
MASSACHUSETTS,Cities,New Bedford,"95,106","8,436"
MASSACHUSETTS,Cities,New Braintree,"1,028",13
MASSACHUSETTS,Cities,Newbury,"7,135",123
MASSACHUSETTS,Cities,Newburyport,"18,146",395
MASSACHUSETTS,Cities,Newton,"89,505","1,267"
MASSACHUSETTS,Cities,Norfolk,"11,872",82
MASSACHUSETTS,Cities,North Adams,"12,858","1,169"
MASSACHUSETTS,Cities,Northampton,"28,587","1,315"
MASSACHUSETTS,Cities,North Andover,"31,394",405
MASSACHUSETTS,Cities,North Attleboro,"29,208",667
MASSACHUSETTS,Cities,Northborough,"15,124",162
MASSACHUSETTS,Cities,Northbridge,"16,759",423
MASSACHUSETTS,Cities,Northfield,"2,982",46
MASSACHUSETTS,Cities,North Reading,"15,849",143
MASSACHUSETTS,Cities,Norton,"19,983",75
MASSACHUSETTS,Cities,Norwell,"11,144",121
MASSACHUSETTS,Cities,Norwood,"29,267",765
MASSACHUSETTS,Cities,Oak Bluffs,"4,699",189
MASSACHUSETTS,Cities,Oakham,"1,952",28
MASSACHUSETTS,Cities,Orleans,"5,809",159
MASSACHUSETTS,Cities,Oxford,"14,015",432
MASSACHUSETTS,Cities,Palmer,"12,320",476
MASSACHUSETTS,Cities,Paxton,"4,888",59
MASSACHUSETTS,Cities,Peabody,"53,209","1,536"
MASSACHUSETTS,Cities,Pelham,"1,326",6
MASSACHUSETTS,Cities,Pembroke,"18,446",294
MASSACHUSETTS,Cities,Pepperell,"12,234",170
MASSACHUSETTS,Cities,Pittsfield,"42,298","3,139"
MASSACHUSETTS,Cities,Plainville,"9,281",155
MASSACHUSETTS,Cities,Plymouth,"60,349","1,823"
MASSACHUSETTS,Cities,Plympton,"2,988",84
MASSACHUSETTS,Cities,Princeton,"3,458",36
MASSACHUSETTS,Cities,Provincetown,"2,960",267
MASSACHUSETTS,Cities,Quincy,"94,388","3,263"
MASSACHUSETTS,Cities,Randolph,"34,535","1,237"
MASSACHUSETTS,Cities,Raynham,"14,320",448
MASSACHUSETTS,Cities,Reading,"26,293",326
MASSACHUSETTS,Cities,Rehoboth,"12,268",263
MASSACHUSETTS,Cities,Revere,"54,296","2,271"
MASSACHUSETTS,Cities,Rochester,"5,623",109
MASSACHUSETTS,Cities,Rockport,"7,284",72
MASSACHUSETTS,Cities,Rowley,"6,392",80
MASSACHUSETTS,Cities,Rutland,"8,803",166
MASSACHUSETTS,Cities,Salem,"43,634","2,342"
MASSACHUSETTS,Cities,Salisbury,"9,567",370
MASSACHUSETTS,Cities,Sandwich,"20,248",424
MASSACHUSETTS,Cities,Saugus,"28,471",908
MASSACHUSETTS,Cities,Scituate,"18,761",216
MASSACHUSETTS,Cities,Seekonk,"15,820",619
MASSACHUSETTS,Cities,Sharon,"18,373",151
MASSACHUSETTS,Cities,Shelburne,"1,842",40
MASSACHUSETTS,Cities,Sherborn,"4,351",79
MASSACHUSETTS,Cities,Shirley,"7,724",83
MASSACHUSETTS,Cities,Shrewsbury,"37,631",271
MASSACHUSETTS,Cities,Somerset,"18,166",554
MASSACHUSETTS,Cities,Somerville,"82,161","2,085"
MASSACHUSETTS,Cities,Southampton,"6,254",88
MASSACHUSETTS,Cities,Southborough,"10,187",101
MASSACHUSETTS,Cities,Southbridge,"16,933",995
MASSACHUSETTS,Cities,South Hadley,"17,799",601
MASSACHUSETTS,Cities,Southwick,"9,810",221
MASSACHUSETTS,Cities,Spencer,"11,989",208
MASSACHUSETTS,Cities,Springfield,"155,179","14,600"
MASSACHUSETTS,Cities,Sterling,"8,181",108
MASSACHUSETTS,Cities,Stockbridge,"1,900",84
MASSACHUSETTS,Cities,Stoneham,"22,135",562
MASSACHUSETTS,Cities,Stoughton,"28,729",963
MASSACHUSETTS,Cities,Stow,"7,171",109
MASSACHUSETTS,Cities,Sturbridge,"9,626",411
MASSACHUSETTS,Cities,Sudbury,"19,037",255
MASSACHUSETTS,Cities,Sunderland,"3,638",52
MASSACHUSETTS,Cities,Sutton,"9,527",207
MASSACHUSETTS,Cities,Swampscott,"15,380",309
MASSACHUSETTS,Cities,Swansea,"16,619",465
MASSACHUSETTS,Cities,Taunton,"57,304","1,410"
MASSACHUSETTS,Cities,Templeton,"8,156",124
MASSACHUSETTS,Cities,Tewksbury,"31,561","1,081"
MASSACHUSETTS,Cities,Tisbury,"4,131",160
MASSACHUSETTS,Cities,Topsfield,"6,628",69
MASSACHUSETTS,Cities,Townsend,"9,600",152
MASSACHUSETTS,Cities,Truro,"2,004",64
MASSACHUSETTS,Cities,Tyngsboro,"12,499",267
MASSACHUSETTS,Cities,Upton,"7,979",122
MASSACHUSETTS,Cities,Wakefield,"27,447",648
MASSACHUSETTS,Cities,Wales,"1,902",18
MASSACHUSETTS,Cities,Walpole,"25,204",694
MASSACHUSETTS,Cities,Waltham,"62,655","1,414"
MASSACHUSETTS,Cities,Ware,"9,850",470
MASSACHUSETTS,Cities,Wareham,"22,747","1,060"
MASSACHUSETTS,Cities,Watertown,"36,320",707
MASSACHUSETTS,Cities,Wayland,"14,088",4
MASSACHUSETTS,Cities,Webster,"17,051",865
MASSACHUSETTS,Cities,Wellesley,"29,681",341
MASSACHUSETTS,Cities,Wellfleet,"2,733",83
MASSACHUSETTS,Cities,Wenham,"5,299",30
MASSACHUSETTS,Cities,Westborough,"19,226",456
MASSACHUSETTS,Cities,West Boylston,"8,103",157
MASSACHUSETTS,Cities,West Bridgewater,"7,272",204
MASSACHUSETTS,Cities,Westfield,"41,854","1,196"
MASSACHUSETTS,Cities,Westford,"24,649",223
MASSACHUSETTS,Cities,Westminster,"7,835",126
MASSACHUSETTS,Cities,West Newbury,"4,694",70
MASSACHUSETTS,Cities,Weston,"12,264",110
MASSACHUSETTS,Cities,Westport,"15,959",384
MASSACHUSETTS,Cities,West Springfield,"28,802","2,151"
MASSACHUSETTS,Cities,West Tisbury,"2,920",62
MASSACHUSETTS,Cities,Westwood,"16,267",338
MASSACHUSETTS,Cities,Weymouth,"57,069","1,478"
MASSACHUSETTS,Cities,Whately,"1,559",24
MASSACHUSETTS,Cities,Whitman,"15,093",353
MASSACHUSETTS,Cities,Wilbraham,"14,760",380
MASSACHUSETTS,Cities,Williamsburg,"2,493",47
MASSACHUSETTS,Cities,Williamstown,"7,845",151
MASSACHUSETTS,Cities,Wilmington,"24,005",383
MASSACHUSETTS,Cities,Winchendon,"10,933",522
MASSACHUSETTS,Cities,Winchester,"23,036",179
MASSACHUSETTS,Cities,Winthrop,"18,783",361
MASSACHUSETTS,Cities,Woburn,"39,895","1,022"
MASSACHUSETTS,Cities,Worcester,"186,188","11,164"
MASSACHUSETTS,Cities,Wrentham,"11,952",304
MASSACHUSETTS,Cities,Yarmouth,"23,269",934
MASSACHUSETTS,Universities and Colleges,Assumption College,"2,913",76
MASSACHUSETTS,Universities and Colleges,Bentley University,"5,771",146
MASSACHUSETTS,Universities and Colleges,Boston University,"40,807",706
MASSACHUSETTS,Universities and Colleges,Bridgewater State University,"13,289",126
MASSACHUSETTS,Universities and Colleges,Dean College,"1,568",45
MASSACHUSETTS,Universities and Colleges,Hampshire College,"1,382",52
MASSACHUSETTS,Universities and Colleges,Massachusetts College of Liberal Arts,"2,249",42
MASSACHUSETTS,Universities and Colleges,Massachusetts Institute of Technology,"12,144",388
MASSACHUSETTS,Universities and Colleges,Massasoit Community College,"10,613",27
MASSACHUSETTS,Universities and Colleges,Mount Holyoke College,"2,599",43
MASSACHUSETTS,Universities and Colleges,Quinsigamond Community College,"10,602",38
MASSACHUSETTS,Universities and Colleges,Salem State University,"11,057",92
MASSACHUSETTS,Universities and Colleges,Smith College,"3,221",39
MASSACHUSETTS,Universities and Colleges,Springfield Technical Community College,"7,713",33
MASSACHUSETTS,Universities and Colleges,Tufts University: ,,
MASSACHUSETTS,Universities and Colleges,Medford,"12,802",66
MASSACHUSETTS,Universities and Colleges,Suffolk3,,18
MASSACHUSETTS,Universities and Colleges,Worcester3,,3
MASSACHUSETTS,Universities and Colleges,University of Massachusetts: ,,
MASSACHUSETTS,Universities and Colleges,Amherst,"34,778",370
MASSACHUSETTS,Universities and Colleges,"Harbor Campus, Boston","20,882",71
MASSACHUSETTS,Universities and Colleges,"Medical Center, Worcester","1,171",154
MASSACHUSETTS,Universities and Colleges,Westfield State University,"8,017",86
MASSACHUSETTS,Universities and Colleges,Worcester Polytechnic Institute,"7,288",75
MASSACHUSETTS,Other,"Division of Law Enforcement, Environmental Police",0,63
MICHIGAN,Cities,Addison Township,"6,598",59
MICHIGAN,Cities,Adrian,"20,624","1,616"
MICHIGAN,Cities,Adrian Township,"6,264",89
MICHIGAN,Cities,Akron,374,18
MICHIGAN,Cities,Albion,"8,241",895
MICHIGAN,Cities,Allegan,"5,051",218
MICHIGAN,Cities,Allen Park,"27,020","1,075"
MICHIGAN,Cities,Alma,"8,944",525
MICHIGAN,Cities,Almont,"2,820",199
MICHIGAN,Cities,Alpena,"9,934",663
MICHIGAN,Cities,Ann Arbor,"122,571","4,456"
MICHIGAN,Cities,Argentine Township,"6,526",72
MICHIGAN,Cities,Armada,"1,734",40
MICHIGAN,Cities,Auburn Hills,"23,579","1,584"
MICHIGAN,Cities,Au Gres,835,7
MICHIGAN,Cities,Augusta,905,26
MICHIGAN,Cities,Bad Axe,"2,933",203
MICHIGAN,Cities,Bancroft,497,3
MICHIGAN,Cities,Bangor,"1,831",224
MICHIGAN,Cities,Baroda-Lake Township,"3,826",189
MICHIGAN,Cities,Barryton,353,4
MICHIGAN,Cities,Barry Township,"3,476",85
MICHIGAN,Cities,Bath Township,"12,984",236
